Customer_ID;Name;Street;City;State;Zipcode;Email;Phone;Order_History;
35;Mr. Joseph Daniel;250 Melissa Shores Apt. 765;San Diego;MD;76878;dcollins@example.com;+1 331-493-8591;13 orders;
36;Danielle Knight;39673 Warren Plain;Fort Worth;IL;78658;katherine63@example.net;+1 830-909-5137;1 orders;
37;Kari Miller;33829 Armstrong Mount;Phoenix;MI;48461;mckeejimmy@example.net;+1 751-308-2994;7 orders;
38;Brian Silva IV;79317 Tiffany Village;New York;MA;38994;dgamble@example.org;+1 435-857-2071;6 orders;
39;Jeremy Robinson;70788 Williams Locks;Dallas;OR;77018;todd57@example.org;+1 350-994-4569;9 orders;
40;Tiffany Spencer;83770 Victoria Corners Apt. 986;Houston;ND;89581;tara20@example.net;+1 789-981-8527;18 orders;
41;Kenneth Wolfe;627 Shawn Forks;Phoenix;MN;70515;amanda11@example.org;+1 967-690-4122;3 orders;
42;Sandra Mejia;7664 Harris Trafficway;Columbus;IL;64220;tiffany00@example.org;+1 669-384-4257;9 orders;
43;Shannon Jones;74723 Garcia Brooks Suite 108;Fort Worth;WY;95923;sarahhughes@example.net;+1 907-969-9415;9 orders;
44;Alex Brown;0734 Rodriguez Parkway;Chicago;MH;82242;burnettelizabeth@example.org;+1 958-912-3175;9 orders;
45;Tamara Evans;648 Loretta Club;Houston;CA;76898;donnawalker@example.com;+1 207-424-6050;1 orders;
46;Gerald Abbott;946 Laura Manor;Dallas;TN;46105;elizabeth74@example.org;+1 490-580-6613;14 orders;
47;Larry Moore;49371 Elizabeth Crescent;Jacksonville;NC;22464;jordan50@example.com;+1 672-645-3021;15 orders;
48;Pamela Davies;9425 Johnston Route Apt. 333;Jacksonville;NM;17124;charlespope@example.org;+1 630-278-5363;6 orders;
49;Justin Peterson;4060 Lee Groves Apt. 438;Austin;VI;99715;umartinez@example.org;+1 226-775-6108;16 orders;
50;Kayla Carter;0194 Teresa Fork;San Antonio;AL;51165;martingrant@example.com;+1 882-363-4309;17 orders;
51;Dominic Kelly;922 Hurst Valleys Apt. 053;Los Angeles;LA;28758;steven68@example.org;+1 835-579-2467;12 orders;
52;George Ramirez;50215 Shawn Bypass Suite 805;Dallas;ME;84727;vargasvirginia@example.org;+1 239-552-1489;10 orders;
53;Virginia Chen;313 Walter Roads Suite 800;Philadelphia;NV;17566;denise02@example.com;+1 492-631-2892;20 orders;
54;Troy Graves;11783 Valerie Mountain;Dallas;MI;59087;monicasmith@example.net;+1 950-281-6115;18 orders;
55;Michelle Navarro;5665 Williams Route Suite 302;Dallas;UT;11247;manuelclark@example.net;+1 292-826-3761;13 orders;
56;Shawn Hunter;0506 Janet Valley;San Diego;IA;72640;floresjoseph@example.com;+1 776-600-2148;12 orders;
57;Christine Harrison;2103 Mueller Run;Dallas;WI;96529;nmitchell@example.org;+1 903-958-9373;19 orders;
58;Thomas Palmer;2584 Jennifer Rapids;Fort Worth;PR;67589;pottermeagan@example.net;+1 256-239-9074;6 orders;
59;Amy Gross;525 Hannah Flats;Philadelphia;AS;87545;tuckeraustin@example.org;+1 452-882-7371;15 orders;
60;James Moses;36977 Roy Union;Charlotte;OH;43675;williamreed@example.com;+1 657-943-9063;10 orders;
61;Eric Williams;44311 Susan Mission Apt. 792;Philadelphia;WV;92382;randalledward@example.net;+1 574-598-4867;13 orders;
62;Suzanne Dixon;872 Martin Dale;San Antonio;TN;32782;stewartkathleen@example.com;+1 855-615-9428;9 orders;
63;Brandon Wallace;7586 Melanie Lakes;Columbus;ID;28077;josephschmidt@example.org;+1 604-772-4858;17 orders;
64;Rebecca Lopez;800 Gregory Forge Apt. 252;Phoenix;MO;1867;melanie09@example.net;+1 929-672-1383;20 orders;
65;Marisa Griffin;062 Troy Fall Apt. 041;San Antonio;NH;52276;sheltonbrian@example.com;+1 642-978-4412;4 orders;
66;Sandra Flynn;3288 Tammy Oval Apt. 969;New York;KS;22456;christophergates@example.net;+1 366-689-3124;16 orders;
67;Steven Long;19681 David Key Suite 717;Los Angeles;AR;90068;moralacey@example.com;+1 803-362-9327;16 orders;
68;Erin Brown;481 Rivera Ways;Los Angeles;WY;65293;gabrielledavis@example.org;+1 779-907-8948;4 orders;
69;Nicholas Leon;928 Duffy Court Apt. 603;Phoenix;CT;64091;gibbssara@example.org;+1 809-695-8222;10 orders;
70;Jeffrey Grant;1623 Wood Canyon;San Jose;CO;23005;nmartin@example.org;+1 511-817-8925;17 orders;
71;Carol Anderson;92071 Jenny Road Apt. 630;Dallas;ID;30719;robertchung@example.com;+1 313-666-2290;4 orders;
72;Jordan King;951 Floyd Track Suite 660;Charlotte;WA;46482;wagnertyler@example.net;+1 250-462-5980;4 orders;
73;Kenneth Hernandez;003 Destiny Mount;Jacksonville;SC;32918;joshuasmith@example.net;+1 827-611-4581;14 orders;
74;Donald Tate;4456 Virginia Divide Suite 668;Chicago;AR;65301;ijones@example.com;+1 719-858-8713;17 orders;
75;Joseph Marquez;7769 Jones Mountains Suite 709;San Jose;LA;88443;youngmartin@example.org;+1 961-314-6558;14 orders;
76;Mark Brown;946 Robert Ridge;Dallas;NV;71103;jeanne20@example.org;+1 593-475-1326;20 orders;
77;Darren Perry;844 Kelley Via;Columbus;AL;40902;rebeccamoreno@example.org;+1 268-254-6007;11 orders;
78;Hannah Moore;9314 Brooke Glen Suite 663;Columbus;WA;52500;lwilliams@example.net;+1 417-808-7093;5 orders;
79;Tracy Banks;33867 Christine Mission;Houston;NJ;25491;keith17@example.net;+1 530-353-3481;9 orders;
80;Steven Morrow;83917 David Ports;Jacksonville;ID;84159;douglas82@example.net;+1 764-560-4334;18 orders;
81;Joseph Anderson;23940 Glenn Walk Suite 543;San Diego;ME;55128;leoncorey@example.com;+1 725-511-3363;4 orders;
82;Tiffany Rodriguez;984 Daniel Street Suite 830;Columbus;IL;6474;barbara24@example.org;+1 755-554-8921;1 orders;
83;Frederick Payne;235 Cassandra Vista;Dallas;DE;1545;smithbrian@example.com;+1 871-403-6461;2 orders;
84;Alyssa Mcfarland;56804 Santana Forge;Philadelphia;KY;92724;james76@example.com;+1 915-805-8382;14 orders;
85;Kenneth Hernandez;684 Jones Forks Suite 174;New York;WA;55419;jeffreyhaney@example.net;+1 882-437-2277;2 orders;
86;Melissa Dudley;293 Suzanne Meadow;Los Angeles;OH;36274;taylor47@example.net;+1 883-638-4996;11 orders;
87;Valerie Simmons;640 Arnold Cape Apt. 464;Jacksonville;OK;32644;judysawyer@example.net;+1 570-931-5997;20 orders;
88;Cathy Martin;5966 Clark Fall Suite 476;Austin;NE;14981;btanner@example.com;+1 997-559-4063;7 orders;
89;Tamara Brown;898 Gonzalez Estates Suite 054;Phoenix;ID;59128;rodriguezcheryl@example.com;+1 392-892-9841;5 orders;
90;Gabrielle Perry;135 Gerald Meadows;Charlotte;UT;46430;kbennett@example.org;+1 332-343-9213;20 orders;
91;Amy Chavez;0515 Ho Locks;Phoenix;VA;59454;michael55@example.org;+1 215-393-4114;13 orders;
92;Robert George;803 Robert Squares Apt. 689;Dallas;MP;93524;kathrynmartinez@example.net;+1 589-807-2994;1 orders;
93;Mary Patterson;794 Jessica Turnpike Apt. 452;San Antonio;CO;29503;leslieterry@example.net;+1 777-714-4949;5 orders;
94;Larry Winters;63197 Richardson Prairie Apt. 589;Fort Worth;WY;24431;joelgood@example.net;+1 335-663-9811;5 orders;
95;Tiffany Mitchell;72951 Sanders Station Apt. 542;Austin;UT;74306;isaacbrown@example.net;+1 682-314-3009;2 orders;
96;Jonathan Bowman;931 Blankenship Bypass Suite 507;Columbus;AL;72289;jeremy88@example.net;+1 286-255-4544;12 orders;
97;Taylor White;190 Patrick Street Apt. 046;Fort Worth;WA;73329;fstone@example.com;+1 292-380-5024;5 orders;
98;Joe Reilly;075 Vincent Bypass;New York;IN;81649;twilliams@example.org;+1 345-754-9011;4 orders;
99;Tyler Cooper;913 Campbell Trace;San Jose;WA;25893;lgallagher@example.com;+1 465-512-2152;8 orders;
100;Heather White;43977 Timothy Summit;Chicago;PR;67484;mark15@example.org;+1 347-316-2281;7 orders;
